AlgorithmName,DefaultID,Enabled,EnvironmentVariable,AddEnv
mldsa65_ed25519,0x090b,Yes,OQS_CODEPOINT_MLDSA65_ed25519,no
mldsa87,0x0906,Yes,OQS_CODEPOINT_MLDSA87,no
p521_mldsa87,0xff09,Yes,OQS_CODEPOINT_P521_MLDSA87,no
mldsa87_p384,0x0909,Yes,OQS_CODEPOINT_MLDSA87_p384,no
mldsa87_bp384,0xfeec,Yes,OQS_CODEPOINT_MLDSA87_bp384,no
mldsa87_ed448,0x0912,Yes,OQS_CODEPOINT_MLDSA87_ed448,no
falcon512,0xfed7,Yes,OQS_CODEPOINT_FALCON512,no
p256_falcon512,0xfed8,Yes,OQS_CODEPOINT_P256_FALCON512,no
rsa3072_falcon512,0xfed9,Yes,OQS_CODEPOINT_RSA3072_FALCON512,no
falconpadded512,0xfedc,Yes,OQS_CODEPOINT_FALCONPADDED512,no
p256_falconpadded512,0xfedd,Yes,OQS_CODEPOINT_P256_FALCONPADDED512,no
rsa3072_falconpadded512,0xfede,Yes,OQS_CODEPOINT_RSA3072_FALCONPADDED512,no
falcon1024,0xfeda,Yes,OQS_CODEPOINT_FALCON1024,no
p521_falcon1024,0xfedb,Yes,OQS_CODEPOINT_P521_FALCON1024,no
falconpadded1024,0xfedf,Yes,OQS_CODEPOINT_FALCONPADDED1024,no
p521_falconpadded1024,0xfee0,Yes,OQS_CODEPOINT_P521_FALCONPADDED1024,no
sphincssha2128fsimple,0xfeb3,Yes,OQS_CODEPOINT_SPHINCSSHA2128FSIMPLE,no
p256_sphincssha2128fsimple,0xfeb4,Yes,OQS_CODEPOINT_P256_SPHINCSSHA2128FSIMPLE,no
rsa3072_sphincssha2128fsimple,0xfeb5,Yes,OQS_CODEPOINT_RSA3072_SPHINCSSHA2128FSIMPLE,no
sphincssha2128ssimple,0xfeb6,Yes,OQS_CODEPOINT_SPHINCSSHA2128SSIMPLE,no
p256_sphincssha2128ssimple,0xfeb7,Yes,OQS_CODEPOINT_P256_SPHINCSSHA2128SSIMPLE,no
rsa3072_sphincssha2128ssimple,0xfeb8,Yes,OQS_CODEPOINT_RSA3072_SPHINCSSHA2128SSIMPLE,no
sphincssha2192fsimple,0xfeb9,Yes,OQS_CODEPOINT_SPHINCSSHA2192FSIMPLE,no
p384_sphincssha2192fsimple,0xfeba,Yes,OQS_CODEPOINT_P384_SPHINCSSHA2192FSIMPLE,no
sphincssha2192ssimple,0xfebb,No,OQS_CODEPOINT_SPHINCSSHA2192SSIMPLE,no
p384_sphincssha2192ssimple,0xfebc,No,OQS_CODEPOINT_P384_SPHINCSSHA2192SSIMPLE,no
sphincssha2256fsimple,0xfebd,No,OQS_CODEPOINT_SPHINCSSHA2256FSIMPLE,no
p521_sphincssha2256fsimple,0xfebe,No,OQS_CODEPOINT_P521_SPHINCSSHA2256FSIMPLE,no
sphincssha2256ssimple,0xfec0,No,OQS_CODEPOINT_SPHINCSSHA2256SSIMPLE,no
p521_sphincssha2256ssimple,0xfec1,No,OQS_CODEPOINT_P521_SPHINCSSHA2256SSIMPLE,no
sphincsshake128fsimple,0xfec2,Yes,OQS_CODEPOINT_SPHINCSSHAKE128FSIMPLE,no
p256_sphincsshake128fsimple,0xfec3,Yes,OQS_CODEPOINT_P256_SPHINCSSHAKE128FSIMPLE,no
rsa3072_sphincsshake128fsimple,0xfec4,Yes,OQS_CODEPOINT_RSA3072_SPHINCSSHAKE128FSIMPLE,no
sphincsshake128ssimple,0xfec5,No,OQS_CODEPOINT_SPHINCSSHAKE128SSIMPLE,no
p256_sphincsshake128ssimple,0xfec6,No,OQS_CODEPOINT_P256_SPHINCSSHAKE128SSIMPLE,no
rsa3072_sphincsshake128ssimple,0xfec7,No,OQS_CODEPOINT_RSA3072_SPHINCSSHAKE128SSIMPLE,no
sphincsshake192fsimple,0xfec8,No,OQS_CODEPOINT_SPHINCSSHAKE192FSIMPLE,no
p384_sphincsshake192fsimple,0xfec9,No,OQS_CODEPOINT_P384_SPHINCSSHAKE192FSIMPLE,no
sphincsshake192ssimple,0xfeca,No,OQS_CODEPOINT_SPHINCSSHAKE192SSIMPLE,no
p384_sphincsshake192ssimple,0xfecb,No,OQS_CODEPOINT_P384_SPHINCSSHAKE192SSIMPLE,no
sphincsshake256fsimple,0xfecc,No,OQS_CODEPOINT_SPHINCSSHAKE256FSIMPLE,no
p521_sphincsshake256fsimple,0xfecd,No,OQS_CODEPOINT_P521_SPHINCSSHAKE256FSIMPLE,no
sphincsshake256ssimple,0xfece,No,OQS_CODEPOINT_SPHINCSSHAKE256SSIMPLE,no
p521_sphincsshake256ssimple,0xfecf,No,OQS_CODEPOINT_P521_SPHINCSSHAKE256SSIMPLE,no
mayo1,0xfeee,Yes,OQS_CODEPOINT_MAYO1,no
p256_mayo1,0xfef2,Yes,OQS_CODEPOINT_P256_MAYO1,no
mayo2,0xfeef,Yes,OQS_CODEPOINT_MAYO2,no
p256_mayo2,0xfef3,Yes,OQS_CODEPOINT_P256_MAYO2,no
mayo3,0xfef0,Yes,OQS_CODEPOINT_MAYO3,no
p384_mayo3,0xfef4,Yes,OQS_CODEPOINT_P384_MAYO3,no
mayo5,0xfef1,Yes,OQS_CODEPOINT_MAYO5,no
p521_mayo5,0xfef5,Yes,OQS_CODEPOINT_P521_MAYO5,no
CROSSrsdp128balanced,0xfef6,Yes,OQS_CODEPOINT_CROSSRSDP128BALANCED,no
CROSSrsdp128fast,0xfef7,No,OQS_CODEPOINT_CROSSRSDP128FAST,no
CROSSrsdp128small,0xfef8,No,OQS_CODEPOINT_CROSSRSDP128SMALL,no
CROSSrsdp192balanced,0xfef9,No,OQS_CODEPOINT_CROSSRSDP192BALANCED,no
CROSSrsdp192fast,0xfefa,No,OQS_CODEPOINT_CROSSRSDP192FAST,no
CROSSrsdp192small,0xfefb,No,OQS_CODEPOINT_CROSSRSDP192SMALL,no
CROSSrsdp256small,0xfefc,No,OQS_CODEPOINT_CROSSRSDP256SMALL,no
CROSSrsdpg128balanced,0xfefd,No,OQS_CODEPOINT_CROSSRSDPG128BALANCED,no
CROSSrsdpg128fast,0xfefe,No,OQS_CODEPOINT_CROSSRSDPG128FAST,no
CROSSrsdpg128small,0xfeff,No,OQS_CODEPOINT_CROSSRSDPG128SMALL,no
CROSSrsdpg192balanced,0xff00,No,OQS_CODEPOINT_CROSSRSDPG192BALANCED,no
CROSSrsdpg192fast,0xff01,No,OQS_CODEPOINT_CROSSRSDPG192FAST,no
CROSSrsdpg192small,0xff02,No,OQS_CODEPOINT_CROSSRSDPG192SMALL,no
CROSSrsdpg256balanced,0xff03,No,OQS_CODEPOINT_CROSSRSDPG256BALANCED,no
CROSSrsdpg256fast,0xff04,No,OQS_CODEPOINT_CROSSRSDPG256FAST,no
CROSSrsdpg256small,0xff05,No,OQS_CODEPOINT_CROSSRSDPG256SMALL,no
